Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
PN LP-BUT GCCD TP 2022-C2,PN LP-BUT GCCD TP 2022-C2-L3,⭐⭐⭐ Choisir et justifier des solutions techniques en phase études,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C3,PN LP-BUT GCCD TP 2022-C3-L1,⭐ Maîtriser les concepts fondamentaux au dimensionnement,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C3,PN LP-BUT GCCD TP 2022-C3-L2,⭐⭐ Réaliser un dimensionnement réglementaire dans des cas simples,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C4,PN LP-BUT GCCD TP 2022-C4-L1,⭐ S’initier au chiffrage et à la préparation des travaux,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C4,PN LP-BUT GCCD TP 2022-C4-L2,⭐⭐ Préparer un chantier,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C4,PN LP-BUT GCCD TP 2022-C4-L3,⭐⭐⭐ Conduire un chantier,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C5,PN LP-BUT GCCD TP 2022-C5-L1,⭐ Caractériser les constituants d’un ouvrage existant ou en projet,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C5,PN LP-BUT GCCD TP 2022-C5-L2,⭐⭐ Suivre l’évolution d’un ouvrage du BTP,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C5,PN LP-BUT GCCD TP 2022-C5-L3,⭐⭐⭐ Contribuer à la gestion d’un parc d’ouvrages,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C1-L1,PN LP-BUT GCCD TP 2022-C1-L1-P1,Décrire les différentes technologies des bâtiments,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C1-L1,PN LP-BUT GCCD TP 2022-C1-L1-P2,Analyser des plans et des détails techniques,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C1-L1,PN LP-BUT GCCD TP 2022-C1-L1-P3,"Produire des plans, coupes, détails techniques, schémas en respectant les normes de dessin",,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C1-L1,PN LP-BUT GCCD TP 2022-C1-L1-P4,Réaliser un levé ou une implantation de bâtiment,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C1-L2,PN LP-BUT GCCD TP 2022-C1-L2-P1,Élaborer un plan d’EXE dans le domaine du bâtiment,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C1-L2,PN LP-BUT GCCD TP 2022-C1-L2-P2,Utiliser une démarche d’analyse multi critères pour justifier des choix techniques,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C1-L2,PN LP-BUT GCCD TP 2022-C1-L2-P3,"Exploiter la réglementation (DTU, Normes ...) pour choisir ou justifier une solution technique",,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C1-L2,PN LP-BUT GCCD TP 2022-C1-L2-P4,Exploiter les résultats de l’ACV d’un composant de Bâtiment,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C2-L1,PN LP-BUT GCCD TP 2022-C2-L1-P1,Décrire différents procédés et technologies de TP,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C2-L1,PN LP-BUT GCCD TP 2022-C2-L1-P2,"Analyser et produire des plans et des détails techniques de voiries, de réseaux et d'ouvrages de TP",,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C2-L1,PN LP-BUT GCCD TP 2022-C2-L1-P3,Classer des sols en vue de leur réemploi routier,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C2-L1,PN LP-BUT GCCD TP 2022-C2-L1-P4,Caractériser la géométrie du terrain en vue de le modéliser,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C2-L2,PN LP-BUT GCCD TP 2022-C2-L2-P1,Implanter des ouvrages spécifiques aux TP,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C2-L2,PN LP-BUT GCCD TP 2022-C2-L2-P2,Élaborer un plan d'EXE dans le domaine des TP,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C2-L2,PN LP-BUT GCCD TP 2022-C2-L2-P3,Choisir et justifier des solutions techniques en respectant la réglementation,<p>Choisir et justifier des solutions techniques en respectant la r&eacute;glementation et les r&egrave;gles professionnelles</p>,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C2-L2,PN LP-BUT GCCD TP 2022-C2-L2-P4,Exploiter les résultats de l’ACV d’un ouvrage simple de TP,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C2-L3,PN LP-BUT GCCD TP 2022-C2-L3-P1,Réaliser une ACV à l’échelle d’un projet de TP,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C2-L3,PN LP-BUT GCCD TP 2022-C2-L3-P2,Prescrire des solutions techniques en TP,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C2-L3,PN LP-BUT GCCD TP 2022-C2-L3-P3,Optimiser l'ensemble des solutions techniques liées au domaine des TP,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C2-L3,PN LP-BUT GCCD TP 2022-C2-L3-P4,Utiliser une démarche de conception BIM,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C3-L1,PN LP-BUT GCCD TP 2022-C3-L1-P1,Modéliser une structure isostatique pour en effectuer une analyse statique,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C3-L1,PN LP-BUT GCCD TP 2022-C3-L1-P2,Identifier les critères de dimensionnement d'éléments de structures simples,"<p>Identifier les crit&egrave;res de dimensionnement d'&eacute;l&eacute;ments de structures simples en b&eacute;ton arm&eacute;, en bois et en m&eacute;tal</p>",,,,,,,,,,
PN LP-BUT GCCD TP 2022-C3-L1,PN LP-BUT GCCD TP 2022-C3-L1-P3,Dimensionner des réseaux secs et humides simples et les systèmes associés,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C3-L1,PN LP-BUT GCCD TP 2022-C3-L1-P4,Calculer la performance thermique et hygrothermique d'une paroi,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C3-L2,PN LP-BUT GCCD TP 2022-C3-L2-P1,Identifier et exploiter les hypothèses permettant le calcul,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C3-L2,PN LP-BUT GCCD TP 2022-C3-L2-P2,Dimensionner un système simple avec et sans logiciel de calculs,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C3-L2,PN LP-BUT GCCD TP 2022-C3-L2-P3,Vérifier les exigences réglementaires,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C4-L1,PN LP-BUT GCCD TP 2022-C4-L1-P1,Définir la chronologie d’une opération de construction et identifier les intervenants,<p>D&eacute;finir la chronologie d&rsquo;une op&eacute;ration de construction et identifier les intervenants et leurs fonctions</p>,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C4-L1,PN LP-BUT GCCD TP 2022-C4-L1-P2,"Exploiter les pièces écrites, graphiques et numériques du dossier technique","<p>Exploiter les pi&egrave;ces &eacute;crites, graphiques et num&eacute;riques du dossier technique pour r&eacute;aliser un quantitatif</p>",,,,,,,,,,
PN LP-BUT GCCD TP 2022-C4-L1,PN LP-BUT GCCD TP 2022-C4-L1-P3,Estimer le prix de vente d’un ouvrage simple,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C4-L1,PN LP-BUT GCCD TP 2022-C4-L1-P4,Comparer des modes constructifs et proposer des modes opératoires en analysant les risques,<p>Comparer des modes constructifs et proposer des modes op&eacute;ratoires en analysant les risques principaux</p>,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C4-L1,PN LP-BUT GCCD TP 2022-C4-L1-P5,Décomposer la réalisation d’un ouvrage en tâches élémentaires et estimer leurs durées,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C4-L1,PN LP-BUT GCCD TP 2022-C4-L1-P6,Établir la planification des travaux d'un ouvrage simple,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C4-L2,PN LP-BUT GCCD TP 2022-C4-L2-P1,Analyser le dossier marché en vue de préparer le chantier,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C4-L2,PN LP-BUT GCCD TP 2022-C4-L2-P2,Établir les modes constructifs et les procédures d’exécution et de contrôle,<p>&Eacute;tablir les modes constructifs et les proc&eacute;dures d&rsquo;ex&eacute;cution et de contr&ocirc;le en appliquant les principes g&eacute;n&eacute;raux de pr&eacute;vention</p>,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C4-L2,PN LP-BUT GCCD TP 2022-C4-L2-P3,Renseigner la documentation spécifique à la prévention des risques,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C4-L2,PN LP-BUT GCCD TP 2022-C4-L2-P4,Élaborer une installation de chantier,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C4-L2,PN LP-BUT GCCD TP 2022-C4-L2-P5,Réaliser le planning d’exécution des travaux,,,,,,,,,,,
PN LP-BUT GCCD TP 2022-C4-L2,PN LP-BUT GCCD TP 2022-C4-L2-P6,Établir un budget de chantier,,,,,,,,,,,
