Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
PN LP-BUT TC BI 2022-C2,PN LP-BUT TC BI 2022-C2-L2,⭐⭐ Pour mener un entretien de vente simple,,,,,,,,,,,
PN LP-BUT TC BI 2022-C2,PN LP-BUT TC BI 2022-C2-L3,⭐⭐⭐ Pour mener une vente complexe,,,,,,,,,,,
PN LP-BUT TC BI 2022-C3,PN LP-BUT TC BI 2022-C3-L1,⭐ Pour structurer un plan de communication,,,,,,,,,,,
PN LP-BUT TC BI 2022-C3,PN LP-BUT TC BI 2022-C3-L2,⭐⭐ Pour élaborer un plan de communication,,,,,,,,,,,
PN LP-BUT TC BI 2022-C4,PN LP-BUT TC BI 2022-C4-L1,⭐ Pour agir en tant qu'assistant développement import/export,,,,,,,,,,,
PN LP-BUT TC BI 2022-C4,PN LP-BUT TC BI 2022-C4-L2,⭐⭐ Pour agir en tant que chargé du développement import/export,,,,,,,,,,,
PN LP-BUT TC BI 2022-C5,PN LP-BUT TC BI 2022-C5-L1,⭐ Pour commercialiser à l'international une offre simple,,,,,,,,,,,
PN LP-BUT TC BI 2022-C5,PN LP-BUT TC BI 2022-C5-L2,⭐⭐ Pour commercialiser à l'international une offre complexe,,,,,,,,,,,
PN LP-BUT TC BI 2022-C1-L1,PN LP-BUT TC BI 2022-C1-L1-P1,Analyser l'environnement d'une entreprise en repérant et appréciant les sources d'informations,<p>Analyser l'environnement d'une entreprise en rep&eacute;rant et appr&eacute;ciant les sources d'informations (fiabilit&eacute; et pertinence)</p>,,,,,,,,,,
PN LP-BUT TC BI 2022-C1-L1,PN LP-BUT TC BI 2022-C1-L1-P2,Mettre en oeuvre une étude de marché dans un environnement simple,,,,,,,,,,,
PN LP-BUT TC BI 2022-C1-L1,PN LP-BUT TC BI 2022-C1-L1-P3,Choisir une cible et un positionnement en fonction de la segmentation du marché,,,,,,,,,,,
PN LP-BUT TC BI 2022-C1-L1,PN LP-BUT TC BI 2022-C1-L1-P4,"Concevoir une offre cohérente et éthique en termes de produits, de prix, de distribution et de commu",,,,,,,,,,,
PN LP-BUT TC BI 2022-C1-L2,PN LP-BUT TC BI 2022-C1-L2-P1,Diagnostiquer l'environnement en appréhendant les enjeux sociaux et écologiques,,,,,,,,,,,
PN LP-BUT TC BI 2022-C1-L2,PN LP-BUT TC BI 2022-C1-L2-P2,Mettre en oeuvre une étude de marché dans un environnement complexe,,,,,,,,,,,
PN LP-BUT TC BI 2022-C1-L2,PN LP-BUT TC BI 2022-C1-L2-P3,Mettre en place une stratégie marketing dans un environnement complexe,,,,,,,,,,,
PN LP-BUT TC BI 2022-C1-L2,PN LP-BUT TC BI 2022-C1-L2-P4,Concevoir un mix étendu pour une offre complexe,,,,,,,,,,,
PN LP-BUT TC BI 2022-C1-L3,PN LP-BUT TC BI 2022-C1-L3-P1,Mettre en place des outils de veille pour anticiper les évolutions de l'environnement,,,,,,,,,,,
PN LP-BUT TC BI 2022-C1-L3,PN LP-BUT TC BI 2022-C1-L3-P2,"Élaborer une stratégie marketing dans un environnement instable (sanitaire, économique ou interne)",,,,,,,,,,,
PN LP-BUT TC BI 2022-C1-L3,PN LP-BUT TC BI 2022-C1-L3-P3,Faire évoluer l'offre à l'aide de leviers de création de valeur,,,,,,,,,,,
PN LP-BUT TC BI 2022-C1-L3,PN LP-BUT TC BI 2022-C1-L3-P4,Intégrer la RSE dans la stratégie de l'offre,,,,,,,,,,,
PN LP-BUT TC BI 2022-C2-L1,PN LP-BUT TC BI 2022-C2-L1-P1,Préparer un plan de découverte qui permette de profiler le client et découvir ses besoins,,,,,,,,,,,
PN LP-BUT TC BI 2022-C2-L1,PN LP-BUT TC BI 2022-C2-L1-P2,Concevoir un argumentaire de vente qui permette de proposer une solution adaptée aux clients,<p>Concevoir un argumentaire de vente qui permette de proposer une solution adapt&eacute;e aux besoins du client</p>,,,,,,,,,,
